name,pillar,representative_system,primary_objective,citation_key,cross_pillar
Tensor parallelism (TP),Parallelism,"Megatron-LM, vLLM","TTFT, TPOT",shoeybi2019megatron,
Sequence parallelism (SP),Parallelism,Megatron,Activation memory,korthikanti2023sequence,
Context / ring attention (CP),Parallelism,"LLaMA-3, RingAttn",Long-context,liu2023ring,
Ulysses sequence parallelism,Parallelism,DeepSpeed-Ulysses,Long sequences,jacobs2023ulysses,
Pipeline parallelism (1F1B),Parallelism,"GPipe, PipeDream","Memory, throughput",huang2019gpipe,
Data parallelism (DP),Parallelism,vLLM replicas,Throughput,kwon2023paged,
Expert parallelism (EP),Parallelism,"Mixtral, DeepSeek-V3",MoE throughput,lepikhin2021gshard,
Statistical multiplexing,Parallelism,AlpaServe,Multi-model goodput,li2023alpa,
Phase-disagg. adaptive parallelism,Parallelism,"DistServe, Splitwise",TTFT + goodput,"zhong2024distserve,patel2024splitwise",Disaggregation
LRU eviction (baseline),Memory,vLLM (default),Access-recency eviction,kwon2023paged,
PagedAttention,Memory,vLLM,Memory utilisation,kwon2023paged,
vAttention,Memory,research,Fragmentation without pages,prabhu2025vattention,
RadixAttention prefix cache,Memory,SGLang,Prefix hit rate,zheng2024sglang,Scheduling
DistAttention KV,Memory,Infinite-LLM,Long-context capacity,lin2024infinite,
Predictive eviction (proposed),Memory,proposed here,Cache efficiency,,
Heavy-hitter eviction,Memory,H2O,KV footprint,zhang2023h2o,
Attention-sink streaming,Memory,StreamingLLM,Unbounded stream,xiao2024streaming,
Persistence eviction,Memory,Scissorhands,KV footprint,liu2023scissorhands,
Attention-aware compression,Memory,SnapKV,Prompt KV size,li2024snapkv,
Adaptive-policy compression,Memory,FastGen,KV footprint,ge2024fastgen,
Tiered KV offload,Memory,InfiniGen,Effective capacity,lee2024infinigen,
KV quantisation (INT8/INT4),Memory,wide deployment,Memory footprint,liu2024kivi,
KIVI 2-bit asymmetric quantisation,Memory,KIVI,Memory footprint,liu2024kivi,
KVQuant outlier-aware,Memory,KVQuant,Long-context capacity,hooper2024kvquant,
GQA,Memory,LLaMA-3,Architectural KV,ainslie2023gqa,
MQA,Memory,PaLM,Architectural KV,shazeer2019mqa,
Dynamic sparse prefill,Memory,MInference,Prefill latency,jiang2024minference,
Semantic cache sharing,Memory,research,Cross-request reuse,zheng2024sglang,Scheduling
Draft--target speculation,Speculative,vLLM / SGLang,Decode latency,leviathan2023fast,
Speculative sampling,Speculative,research,Lossless decode,chen2023accelerating,
Tree-based speculation,Speculative,SpecInfer,Decode latency,miao2024specinfer,
Multi-head drafting,Speculative,Medusa,Draft-free speculation,cai2024medusa,
Feature-level draft,Speculative,EAGLE,Acceptance rate,li2024eagle,
Dynamic draft trees,Speculative,EAGLE-2,Acceptance rate,li2024eagle2,
Lookahead decoding,Speculative,research,Draft-free speculation,fu2024lookahead,
Self-speculative decoding,Speculative,Draft & Verify,Single-model speculation,zhang2024selfspec,
Hierarchical multi-stage,Speculative,research,Verify cost,spector2023staged,
Collective speculation,Speculative,research,Distributed bandwidth,liu2025collective,Disaggregation
Sparse logit transmission,Speculative,research,Communication volume,chen2025fast,
Homogeneous disaggregation,Disaggregation,DistServe,"Goodput, SLO",zhong2024distserve,
Heterogeneous disaggregation,Disaggregation,Splitwise,Cost efficiency,patel2024splitwise,
KVCache-centric disaggregation,Disaggregation,Mooncake,Prefix + goodput,qin2025mooncake,
Elastic memory pooling,Disaggregation,MemServe,Cross-instance KV,hu2024memserve,
Chunked-prefill co-location,Disaggregation,Sarathi-Serve,TTFT/TPOT balance,agrawal2024sarathi,Scheduling
Continuous batching,Scheduling,"Orca, vLLM",GPU utilisation,yu2022orca,
Chunked-prefill scheduling,Scheduling,Sarathi-Serve,Tail TPOT,agrawal2024sarathi,
Preemption: recompute / swap,Scheduling,vLLM,Memory pressure,kwon2023paged,
Preemption-aware admission,Scheduling,research,P99 TPOT,agrawal2024sarathi,
WFQ / priority QoS,Scheduling,research,SLA tiers,patke2024queue,
VTC fairness scheduling,Scheduling,VTC,Per-client fairness,sheng2024fairness,
SLO queue management,Scheduling,research,SLO attainment,patke2024queue,
Prefix-aware routing,Scheduling,SGLang,Cache hit rate,zheng2024sglang,
Fast preemptive scheduling,Scheduling,FastServe,Job completion time,wu2023fastserve,
Energy-aware routing,Scheduling,DynamoLLM,Power / goodput,stojkovic2025dynamo,
RL-based scheduling,Scheduling,research,Multi-objective,mao2019learning,
Cost-sensitive (spot),Scheduling,SkyPilot-style,Cost per token,yang2023skypilot,
